國別,西元年,民國年,類別,老化指數,資料說明,資料來源,
日本,2047,136,中推估,363.20,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2048,137,中推估,366.50,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2049,138,中推估,370.10,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2050,139,中推估,373.60,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2051,140,中推估,377.00,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2052,141,中推估,380.70,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2053,142,中推估,384.20,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2054,143,中推估,387.70,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2055,144,中推估,391.10,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2056,145,中推估,394.40,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2057,146,中推估,397.80,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2058,147,中推估,401.10,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2059,148,中推估,404.60,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2060,149,中推估,408.00,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2061,150,中推估,411.10,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2062,151,中推估,413.90,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2063,152,中推估,416.50,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2064,153,中推估,418.50,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2065,154,中推估,420.30,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2066,155,中推估,421.50,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2067,156,中推估,422.20,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2068,157,中推估,422.50,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2069,158,中推估,422.60,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
日本,2070,159,中推估,422.20,為10月1日數,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）,
韓國,2025,114,中推估,199.90,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2026,115,中推估,222.70,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2027,116,中推估,244.00,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2028,117,中推估,267.60,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2029,118,中推估,288.20,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2030,119,中推估,312.00,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2031,120,中推估,336.00,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2032,121,中推估,356.80,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2033,122,中推估,375.10,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2034,123,中推估,393.10,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2035,124,中推估,406.70,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2036,125,中推估,418.70,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2037,126,中推估,427.60,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2038,127,中推估,434.60,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2039,128,中推估,439.80,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2040,129,中推估,442.20,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2041,130,中推估,443.70,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2042,131,中推估,446.00,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2043,132,中推估,449.70,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2044,133,中推估,454.60,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2045,134,中推估,462.10,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2046,135,中推估,470.50,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2047,136,中推估,479.80,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2048,137,中推估,488.60,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2049,138,中推估,496.50,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2050,139,中推估,504.00,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2051,140,中推估,512.80,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2052,141,中推估,522.40,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2053,142,中推估,532.60,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2054,143,中推估,543.50,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2055,144,中推估,555.60,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2056,145,中推估,568.60,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2057,146,中推估,584.30,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2058,147,中推估,601.30,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2059,148,中推估,618.80,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2060,149,中推估,636.90,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2061,150,中推估,655.60,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2062,151,中推估,673.80,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2063,152,中推估,691.20,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2064,153,中推估,706.60,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2065,154,中推估,721.00,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2066,155,中推估,732.80,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2067,156,中推估,739.10,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2068,157,中推估,741.80,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2069,158,中推估,742.00,為年中數,KOSIS KOrean Statistical Information Service網站,
韓國,2070,159,中推估,738.60,為年中數,KOSIS KOrean Statistical Information Service網站,
美國,2025,114,中推估,109.20,為年中數,U.S. Census Bureau網站,
美國,2026,115,中推估,112.80,為年中數,U.S. Census Bureau網站,
美國,2027,116,中推估,116.20,為年中數,U.S. Census Bureau網站,
美國,2028,117,中推估,119.50,為年中數,U.S. Census Bureau網站,
美國,2029,118,中推估,122.60,為年中數,U.S. Census Bureau網站,
美國,2030,119,中推估,125.50,為年中數,U.S. Census Bureau網站,
美國,2031,120,中推估,128.00,為年中數,U.S. Census Bureau網站,
美國,2032,121,中推估,130.10,為年中數,U.S. Census Bureau網站,
美國,2033,122,中推估,131.80,為年中數,U.S. Census Bureau網站,
美國,2034,123,中推估,133.40,為年中數,U.S. Census Bureau網站,
美國,2035,124,中推估,135.10,為年中數,U.S. Census Bureau網站,
美國,2036,125,中推估,136.40,為年中數,U.S. Census Bureau網站,
美國,2037,126,中推估,137.60,為年中數,U.S. Census Bureau網站,
美國,2038,127,中推估,138.20,為年中數,U.S. Census Bureau網站,
美國,2039,128,中推估,138.80,為年中數,U.S. Census Bureau網站,
美國,2040,129,中推估,139.30,為年中數,U.S. Census Bureau網站,
美國,2041,130,中推估,139.80,為年中數,U.S. Census Bureau網站,
美國,2042,131,中推估,140.50,為年中數,U.S. Census Bureau網站,
美國,2043,132,中推估,141.20,為年中數,U.S. Census Bureau網站,
美國,2044,133,中推估,142.10,為年中數,U.S. Census Bureau網站,
美國,2045,134,中推估,143.30,為年中數,U.S. Census Bureau網站,
美國,2046,135,中推估,144.40,為年中數,U.S. Census Bureau網站,
美國,2047,136,中推估,145.80,為年中數,U.S. Census Bureau網站,
美國,2048,137,中推估,147.10,為年中數,U.S. Census Bureau網站,
美國,2049,138,中推估,148.30,為年中數,U.S. Census Bureau網站,
美國,2050,139,中推估,149.80,為年中數,U.S. Census Bureau網站,
美國,2051,140,中推估,151.30,為年中數,U.S. Census Bureau網站,
美國,2052,141,中推估,152.80,為年中數,U.S. Census Bureau網站,
美國,2053,142,中推估,154.40,為年中數,U.S. Census Bureau網站,
美國,2054,143,中推估,156.20,為年中數,U.S. Census Bureau網站,
美國,2055,144,中推估,158.20,為年中數,U.S. Census Bureau網站,
美國,2056,145,中推估,160.30,為年中數,U.S. Census Bureau網站,
美國,2057,146,中推估,162.30,為年中數,U.S. Census Bureau網站,
美國,2058,147,中推估,164.10,為年中數,U.S. Census Bureau網站,
美國,2059,148,中推估,165.80,為年中數,U.S. Census Bureau網站,
美國,2060,149,中推估,167.50,為年中數,U.S. Census Bureau網站,
美國,2061,150,中推估,169.00,為年中數,U.S. Census Bureau網站,
美國,2062,151,中推估,170.60,為年中數,U.S. Census Bureau網站,
美國,2063,152,中推估,172.20,為年中數,U.S. Census Bureau網站,
美國,2064,153,中推估,174.10,為年中數,U.S. Census Bureau網站,
美國,2065,154,中推估,176.20,為年中數,U.S. Census Bureau網站,
美國,2066,155,中推估,178.50,為年中數,U.S. Census Bureau網站,
美國,2067,156,中推估,180.30,為年中數,U.S. Census Bureau網站,
美國,2068,157,中推估,181.80,為年中數,U.S. Census Bureau網站,
美國,2069,158,中推估,183.50,為年中數,U.S. Census Bureau網站,
美國,2070,159,中推估,185.10,為年中數,U.S. Census Bureau網站,
英國,2025,114,中推估,117.20,為年中數,Office for National Statistic網站,
英國,2026,115,中推估,120.60,為年中數,Office for National Statistic網站,
英國,2027,116,中推估,124.30,為年中數,Office for National Statistic網站,
英國,2028,117,中推估,128.10,為年中數,Office for National Statistic網站,
英國,2029,118,中推估,131.80,為年中數,Office for National Statistic網站,
英國,2030,119,中推估,135.60,為年中數,Office for National Statistic網站,
英國,2031,120,中推估,139.40,為年中數,Office for National Statistic網站,
英國,2032,121,中推估,142.80,為年中數,Office for National Statistic網站,
英國,2033,122,中推估,146.00,為年中數,Office for National Statistic網站,
英國,2034,123,中推估,148.90,為年中數,Office for National Statistic網站,
英國,2035,124,中推估,151.40,為年中數,Office for National Statistic網站,
英國,2036,125,中推估,153.70,為年中數,Office for National Statistic網站,
英國,2037,126,中推估,155.70,為年中數,Office for National Statistic網站,
英國,2038,127,中推估,156.80,為年中數,Office for National Statistic網站,
英國,2039,128,中推估,157.40,為年中數,Office for National Statistic網站,
英國,2040,129,中推估,157.90,為年中數,Office for National Statistic網站,
英國,2041,130,中推估,158.20,為年中數,Office for National Statistic網站,
英國,2042,131,中推估,158.40,為年中數,Office for National Statistic網站,
英國,2043,132,中推估,158.50,為年中數,Office for National Statistic網站,
英國,2044,133,中推估,159.20,為年中數,Office for National Statistic網站,
英國,2045,134,中推估,160.20,為年中數,Office for National Statistic網站,
英國,2046,135,中推估,161.20,為年中數,Office for National Statistic網站,
英國,2047,136,中推估,162.00,為年中數,Office for National Statistic網站,
英國,2048,137,中推估,163.00,為年中數,Office for National Statistic網站,
英國,2049,138,中推估,164.00,為年中數,Office for National Statistic網站,
英國,2050,139,中推估,165.40,為年中數,Office for National Statistic網站,
英國,2051,140,中推估,166.80,為年中數,Office for National Statistic網站,
英國,2052,141,中推估,168.50,為年中數,Office for National Statistic網站,
英國,2053,142,中推估,170.50,為年中數,Office for National Statistic網站,
英國,2054,143,中推估,172.50,為年中數,Office for National Statistic網站,
英國,2055,144,中推估,174.70,為年中數,Office for National Statistic網站,
英國,2056,145,中推估,177.20,為年中數,Office for National Statistic網站,
英國,2057,146,中推估,179.60,為年中數,Office for National Statistic網站,
英國,2058,147,中推估,182.10,為年中數,Office for National Statistic網站,
英國,2059,148,中推估,184.60,為年中數,Office for National Statistic網站,
英國,2060,149,中推估,187.20,為年中數,Office for National Statistic網站,
英國,2061,150,中推估,189.70,為年中數,Office for National Statistic網站,
英國,2062,151,中推估,192.50,為年中數,Office for National Statistic網站,
英國,2063,152,中推估,195.20,為年中數,Office for National Statistic網站,
英國,2064,153,中推估,197.90,為年中數,Office for National Statistic網站,
英國,2065,154,中推估,200.40,為年中數,Office for National Statistic網站,
